year,country,aircraft_produced
1939,germany,8295
1939,japan,4467
1939,usa,5856
1939,britain,7940
1939,ussr,10382
1940,germany,10247
1940,japan,4768
1940,usa,12804
1940,britain,15049
1940,ussr,10565
1941,germany,11776
1941,japan,5088
1941,usa,26277
1941,britain,20094
1941,ussr,15735
1942,germany,15409
1942,japan,8861
1942,usa,47836
1942,britain,23672
1942,ussr,25436
1943,germany,24807
1943,japan,16693
1943,usa,85898
1943,britain,26263
1943,ussr,34900
1944,germany,39807
1944,japan,28180
1944,usa,96316
1944,britain,26461
1944,ussr,40300
1945,germany,7540
1945,japan,11066
1945,usa,49761
1945,britain,12070
1945,ussr,20900
