year,country,tanks_produced
1939,germany,1300
1939,japan,-
1939,usa,-
1939,britain,969
1939,ussr,2950
1940,germany,2200
1940,japan,1023
1940,usa,400
1940,britain,1399
1940,ussr,2794
1941,germany,5200
1941,japan,1024
1941,usa,4052
1941,britain,4841
1941,ussr,6590
1942,germany,9200
1942,japan,1191
1942,usa,24997
1942,britain,8611
1942,ussr,24446
1943,germany,17300
1943,japan,790
1943,usa,29497
1943,britain,7476
1943,ussr,24089
1944,germany,22100
1944,japan,401
1944,usa,17565
1944,britain,5000
1944,ussr,28963
1945,germany,-
1945,japan,142
1945,usa,11968
1945,britain,-
1945,ussr,15400
