year,country,coal_produced,iron_produced,oil_produced
1939,germany,174687,3928,740
1940,germany,173043,5019,1056
1941,germany,172075,4755,902
1942,germany,172633,4137,744
1943,germany,174338,4080,710
1944,germany,-,-,722
1945,germany,-,-,547
1939,italy,2024,470,12
1940,italy,2282,603,11.2
1941,italy,2393,686,11.7
1942,italy,2522,594,13.4
1943,italy,1358,406,11.2
1944,italy,-,-,-
1945,italy,-,-,-
1939,japan,52409,429,332
1940,japan,57318,496,300
1941,japan,55602,628,274
1942,japan,54179,982,235
1943,japan,55539,1191,246
1944,japan,49335,1526,228
1945,japan,22371,488,220
1939,usa,404916,26423,170941
1940,usa,464711,37918,182867
1941,usa,517566,47819,189490
1942,usa,583339,54767,187384
1943,usa,590415,52127,203461
1944,usa,619860,48653,226744
1945,usa,573841,45822,231575
1939,uk,235050,4417,3.7
1940,uk,227898,5449,14.3
1941,uk,209655,5528,30.8
1942,uk,208232,5449,82.8
1943,uk,202112,5411,114.6
1944,uk,195839,4390,96.1
1945,uk,185706,4177,72.7
1939,ussr,117495,-,22950
1940,ussr,117495,-,22950
1941,ussr,117495,-,22950
1942,ussr,117495,-,22950
1943,ussr,117495,-,22950
1944,ussr,117495,-,22950
1945,ussr,117495,-,22950
1939,romania,-,-,6240
1940,romania,-,-,5810
1941,romania,-,-,5453
1942,romania,-,-,5665
1943,romania,-,-,5273
1944,romania,-,-,3525
1945,romania,-,-,4640
1939,manchuria,11452,1000,-
1940,manchuria,11452,1000,-
1941,manchuria,11452,1000,-
1942,manchuria,11452,1000,-
1943,manchuria,11452,1000,-
1944,manchuria,11452,1000,-
1945,manchuria,11452,1000,-
1939,korea,4239,357,-
1940,korea,5741,480,-
1941,korea,6158,552,-
1942,korea,6847,769,-
1943,korea,6588,958,-
1944,korea,7049,1349,-
1945,korea,-,337,-
1939,austria,217,1050,144
1940,austria,228,1325,413
1941,austria,226,1015,652
1942,austria,225,1050,871
1943,austria,274,1115,1104
1944,austria,195,1055,1213
1945,austria,72,115,-
