year,country,coal_produced,iron_produced,oil_produced
1939,gerausrom,174687,4978,7124
1940,gerausrom,173043,6344,7279
1941,gerausrom,172075,5770,7007
1942,gerausrom,172633,5187,7280
1943,gerausrom,174338,5195,7087
1944,gerausrom,-,-,5460
1945,gerausrom,-,-,5187
1939,italy,2024,470,12
1940,italy,2282,603,11.2
1941,italy,2393,686,11.7
1942,italy,2522,594,13.4
1943,italy,1358,406,11.2
1944,italy,-,-,-
1945,italy,-,-,-
1939,japkrmanchu,68100,1786,332
1940,japkrmanchu,74511,1976,300
1941,japkrmanchu,73212,2180,274
1942,japkrmanchu,72478,2751,235
1943,japkrmanchu,73579,3149,246
1944,japkrmanchu,67836,3875,228
1945,japkrmanchu,33823,1825,220
1939,usa,404916,26423,170941
1940,usa,464711,37918,182867
1941,usa,517566,47819,189490
1942,usa,583339,54767,187384
1943,usa,590415,52127,203461
1944,usa,619860,48653,226744
1945,usa,573841,45822,231575
1939,uk,235050,4417,3.7
1940,uk,227898,5449,14.3
1941,uk,209655,5528,30.8
1942,uk,208232,5449,82.8
1943,uk,202112,5411,114.6
1944,uk,195839,4390,96.1
1945,uk,185706,4177,72.7
1939,ussr,117495,-,22950
1940,ussr,117495,-,22950
1941,ussr,117495,-,22950
1942,ussr,117495,-,22950
1943,ussr,117495,-,22950
1944,ussr,117495,-,22950
1945,ussr,117495,-,22950
